type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.estimatedTime,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.estimatedTime,arrival.terminal,departure.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,departure.terminal,departure.gate,error
departure,active,hah,fmch,2023-11-09t15:45:00.000,dar,htda,2023-11-09t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,2023-11-09t15:54:00.000,2023-11-09t15:54:00.000,2023-11-09t15:54:00.000,2023-11-09t16:55:00.000,,,,,,,,3,9.0,,,,,,,
departure,active,hah,fmch,2023-11-09t16:00:00.000,dza,fmcz,2023-11-09t17:00:00.000,air austral,uu,reu,7403,uu7403,reu7403,,,,,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,
departure,active,hah,fmch,2023-11-09t16:00:00.000,dza,fmcz,2023-11-09t17:00:00.000,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-10t07:35:00.000,cai,heca,2023-11-10t13:35:00.000,etihad airways,ey,etd,4954,ey4954,etd4954,,,,,egyptair,ms,msr,841,ms841,msr841,,3,,,,,,,,
departure,active,hah,fmch,2023-11-10t07:35:00.000,cai,heca,2023-11-10t13:35:00.000,egyptair,ms,msr,841,ms841,msr841,,,,,,,,,,,,3,,,,,,,,
departure,active,hah,fmch,2023-11-10t08:30:00.000,ajn,fmcv,2023-11-10t09:00:00.000,empty,,,505,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-10t13:15:00.000,nwa,fmci,2023-11-10t13:40:00.000,empty,,,312,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-10t14:00:00.000,nbo,hkjk,2023-11-10t16:10:00.000,air france,af,afr,8082,af8082,afr8082,,,,,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-10t13:53:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-10t14:00:00.000,nbo,hkjk,2023-11-10t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,,,,,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-10t13:53:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-10t14:00:00.000,nbo,hkjk,2023-11-10t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,,,,,,,,,,2023-11-10t13:53:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-10t15:45:00.000,dar,htda,2023-11-10t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,,,,,,,,,,,2023-11-10t15:45:00.000,3,,,,,,,,
departure,active,hah,fmch,2023-11-10t16:00:00.000,dza,fmcz,2023-11-10t17:00:00.000,air austral,uu,reu,7403,uu7403,reu7403,2023-11-10t15:28:00.000,2023-11-10t15:28:00.000,2023-11-10t15:28:00.000,,ewa air,zd,ewr,303,zd303,ewr303,2023-11-10t16:00:00.000,,,2023-11-10t16:11:00.000,2023-11-10t16:11:00.000,2023-11-10t16:11:00.000,,,,
departure,active,hah,fmch,2023-11-10t16:00:00.000,dza,fmcz,2023-11-10t17:00:00.000,ewa air,zd,ewr,303,zd303,ewr303,2023-11-10t15:28:00.000,2023-11-10t15:28:00.000,2023-11-10t15:28:00.000,,,,,,,,2023-11-10t16:00:00.000,,,2023-11-10t16:11:00.000,2023-11-10t16:11:00.000,2023-11-10t16:11:00.000,,,,
departure,active,hah,fmch,2023-11-10t16:30:00.000,ajn,fmcv,2023-11-10t17:00:00.000,empty,,,509,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-11t10:00:00.000,nwa,fmci,2023-11-11t10:25:00.000,empty,,,521,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-11t12:10:00.000,dar,htda,2023-11-11t13:25:00.000,,h1,h1,3688,h13688,h13688,2023-11-11t12:56:00.000,2023-11-11t12:56:00.000,2023-11-11t12:56:00.000,2023-11-11t13:59:00.000,air tanzania,tc,atc,211,tc211,atc211,,2,46.0,,,,34.0,,,
departure,active,hah,fmch,2023-11-11t12:10:00.000,dar,htda,2023-11-11t13:25:00.000,air tanzania,tc,atc,211,tc211,atc211,2023-11-11t12:56:00.000,2023-11-11t12:56:00.000,2023-11-11t12:56:00.000,2023-11-11t13:59:00.000,,,,,,,,2,46.0,,,,34.0,,,
departure,active,hah,fmch,2023-11-11t14:00:00.000,nbo,hkjk,2023-11-11t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,2023-11-11t13:43:00.000,2023-11-11t13:43:00.000,2023-11-11t13:43:00.000,2023-11-11t15:35:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-11t14:00:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-11t14:00:00.000,nbo,hkjk,2023-11-11t16:10:00.000,air france,af,afr,8082,af8082,afr8082,2023-11-11t13:43:00.000,2023-11-11t13:43:00.000,2023-11-11t13:43:00.000,2023-11-11t15:35:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-11t14:00:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-11t14:00:00.000,nbo,hkjk,2023-11-11t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-11t13:43:00.000,2023-11-11t13:43:00.000,2023-11-11t13:43:00.000,2023-11-11t15:35:00.000,,,,,,,2023-11-11t14:00:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-11t15:45:00.000,dar,htda,2023-11-11t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,2023-11-11t15:44:00.000,2023-11-11t15:44:00.000,2023-11-11t15:44:00.000,2023-11-11t16:47:00.000,,,,,,,,3,,,,,,,,
departure,active,hah,fmch,2023-11-11t16:30:00.000,ajn,fmcv,2023-11-11t17:00:00.000,empty,,,509,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-12t12:30:00.000,dza,fmcz,2023-11-12t13:30:00.000,air austral,uu,reu,7403,uu7403,reu7403,2023-11-12t12:31:00.000,2023-11-12t12:31:00.000,2023-11-12t12:31:00.000,2023-11-12t13:18:00.000,ewa air,zd,ewr,303,zd303,ewr303,,,2.0,,,,,,,
departure,active,hah,fmch,2023-11-12t12:30:00.000,dza,fmcz,2023-11-12t13:30:00.000,ewa air,zd,ewr,303,zd303,ewr303,2023-11-12t12:31:00.000,2023-11-12t12:31:00.000,2023-11-12t12:31:00.000,2023-11-12t13:18:00.000,,,,,,,,,2.0,,,,,,,
departure,active,hah,fmch,2023-11-12t14:00:00.000,nbo,hkjk,2023-11-12t16:10:00.000,air france,af,afr,8082,af8082,afr8082,,,,,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-12t16:30:00.000,1a,150.0,,,,,,,
departure,active,hah,fmch,2023-11-12t14:00:00.000,nbo,hkjk,2023-11-12t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,,,,,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-12t16:30:00.000,1a,150.0,,,,,,,
departure,active,hah,fmch,2023-11-12t14:00:00.000,nbo,hkjk,2023-11-12t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,,,,,,,,,,,2023-11-12t16:30:00.000,1a,150.0,,,,,,,
