type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.delay,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,departure.estimatedTime,arrival.baggage,arrival.gate,error
departure,active,vca,vvct,2023-11-02t15:50:00.000,,,,han,vvnb,t1,2023-11-02t18:00:00.000,,,a1,a1,2468,a12468,a12468,,vietjet air,vj,vjc,468,vj468,vjc468,,,,,,,,
departure,active,vca,vvct,2023-11-02t15:50:00.000,,,,han,vvnb,t1,2023-11-02t18:00:00.000,,flexflight,w2,fxt,4468,w24468,fxt4468,,vietjet air,vj,vjc,468,vj468,vjc468,,,,,,,,
departure,active,vca,vvct,2023-11-02t15:50:00.000,,,,han,vvnb,t1,2023-11-02t18:00:00.000,,,h1,h1,4140,h14140,h14140,,vietjet air,vj,vjc,468,vj468,vjc468,,,,,,,,
departure,active,vca,vvct,2023-11-02t15:50:00.000,,,,han,vvnb,t1,2023-11-02t18:00:00.000,,vietjet air,vj,vjc,468,vj468,vjc468,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-02t17:05:00.000,2023-11-02t17:06:00.000,2023-11-02t17:06:00.000,2023-11-02t17:06:00.000,icn,rksi,1,2023-11-03t00:10:00.000,2023-11-02t23:58:00.000,,a1,a1,2954,a12954,a12954,1.0,vietjet air,vj,vjc,954,vj954,vjc954,,,,,,,,
departure,active,vca,vvct,2023-11-02t17:05:00.000,2023-11-02t17:06:00.000,2023-11-02t17:06:00.000,2023-11-02t17:06:00.000,icn,rksi,1,2023-11-03t00:10:00.000,2023-11-02t23:58:00.000,flexflight,w2,fxt,4954,w24954,fxt4954,1.0,vietjet air,vj,vjc,954,vj954,vjc954,,,,,,,,
departure,active,vca,vvct,2023-11-02t17:05:00.000,2023-11-02t17:06:00.000,2023-11-02t17:06:00.000,2023-11-02t17:06:00.000,icn,rksi,1,2023-11-03t00:10:00.000,2023-11-02t23:58:00.000,,h1,h1,4533,h14533,h14533,1.0,vietjet air,vj,vjc,954,vj954,vjc954,,,,,,,,
departure,active,vca,vvct,2023-11-02t17:05:00.000,2023-11-02t17:06:00.000,2023-11-02t17:06:00.000,2023-11-02t17:06:00.000,icn,rksi,1,2023-11-03t00:10:00.000,2023-11-02t23:58:00.000,vietjet air,vj,vjc,954,vj954,vjc954,1.0,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-02t18:30:00.000,,,,han,vvnb,t1,2023-11-02t20:40:00.000,,,a1,a1,2462,a12462,a12462,,vietjet air,vj,vjc,462,vj462,vjc462,,,,,,,,
departure,active,vca,vvct,2023-11-02t18:30:00.000,,,,han,vvnb,t1,2023-11-02t20:40:00.000,,flexflight,w2,fxt,4462,w24462,fxt4462,,vietjet air,vj,vjc,462,vj462,vjc462,,,,,,,,
departure,active,vca,vvct,2023-11-02t18:30:00.000,,,,han,vvnb,t1,2023-11-02t20:40:00.000,,,h1,h1,4332,h14332,h14332,,vietjet air,vj,vjc,462,vj462,vjc462,,,,,,,,
departure,active,vca,vvct,2023-11-02t18:30:00.000,,,,han,vvnb,t1,2023-11-02t20:40:00.000,,vietjet air,vj,vjc,462,vj462,vjc462,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-02t19:50:00.000,2023-11-02t20:04:00.000,2023-11-02t20:04:00.000,2023-11-02t20:04:00.000,han,vvnb,t1,2023-11-02t22:15:00.000,2023-11-02t21:56:00.000,vietnam airlines,vn,hvn,1206,vn1206,hvn1206,15.0,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-02t20:55:00.000,,,,han,vvnb,1,2023-11-02t23:10:00.000,,bamboo airways,qh,bav,1432,qh1432,bav1432,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-03t05:50:00.000,2023-11-03t05:55:00.000,2023-11-03t05:55:00.000,2023-11-03t05:55:00.000,han,vvnb,t1,2023-11-03t08:00:00.000,2023-11-03t07:44:00.000,,a1,a1,2466,a12466,a12466,5.0,vietjet air,vj,vjc,466,vj466,vjc466,,,,,,,,
departure,active,vca,vvct,2023-11-03t05:50:00.000,2023-11-03t05:55:00.000,2023-11-03t05:55:00.000,2023-11-03t05:55:00.000,han,vvnb,t1,2023-11-03t08:00:00.000,2023-11-03t07:44:00.000,flexflight,w2,fxt,4466,w24466,fxt4466,5.0,vietjet air,vj,vjc,466,vj466,vjc466,,,,,,,,
departure,active,vca,vvct,2023-11-03t05:50:00.000,2023-11-03t05:55:00.000,2023-11-03t05:55:00.000,2023-11-03t05:55:00.000,han,vvnb,t1,2023-11-03t08:00:00.000,2023-11-03t07:44:00.000,,h1,h1,4036,h14036,h14036,5.0,vietjet air,vj,vjc,466,vj466,vjc466,,,,,,,,
departure,active,vca,vvct,2023-11-03t05:50:00.000,2023-11-03t05:55:00.000,2023-11-03t05:55:00.000,2023-11-03t05:55:00.000,han,vvnb,t1,2023-11-03t08:00:00.000,2023-11-03t07:44:00.000,vietjet air,vj,vjc,466,vj466,vjc466,5.0,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-03t10:00:00.000,2023-11-03t10:07:00.000,2023-11-03t10:07:00.000,2023-11-03t10:07:00.000,han,vvnb,t1,2023-11-03t12:20:00.000,2023-11-03t11:58:00.000,vietnam airlines,vn,hvn,1200,vn1200,hvn1200,8.0,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-03t11:35:00.000,,,,dad,vvdn,1,2023-11-03t13:05:00.000,,,a1,a1,2702,a12702,a12702,,vietjet air,vj,vjc,702,vj702,vjc702,,,,,,,,
departure,active,vca,vvct,2023-11-03t11:35:00.000,,,,dad,vvdn,1,2023-11-03t13:05:00.000,,flexflight,w2,fxt,4702,w24702,fxt4702,,vietjet air,vj,vjc,702,vj702,vjc702,,,,,,,,
departure,active,vca,vvct,2023-11-03t11:35:00.000,,,,dad,vvdn,1,2023-11-03t13:05:00.000,,,h1,h1,4348,h14348,h14348,,vietjet air,vj,vjc,702,vj702,vjc702,,,,,,,,
