type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.delay,departure.scheduledTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.delay,departure.estimatedTime,departure.gate,error
arrival,unknown,han,vvnb,1,,2023-11-02t17:50:00.000,,,,vca,vvct,2023-11-02t20:10:00.000,,,,,bamboo airways,qh,bav,1431,qh1431,bav1431,,,,,,,,,,
arrival,landed,han,vvnb,t1,,2023-11-02t19:05:00.000,2023-11-02t19:05:00.000,2023-11-02t19:05:00.000,2023-11-02t19:05:00.000,vca,vvct,2023-11-02t21:10:00.000,2023-11-02t20:54:00.000,2023-11-02t21:03:00.000,2023-11-02t21:03:00.000,2023-11-02t21:03:00.000,,a1,a1,2467,a12467,a12467,vietjet air,vj,vjc,467,vj467,vjc467,,,,
arrival,landed,han,vvnb,t1,,2023-11-02t19:05:00.000,2023-11-02t19:05:00.000,2023-11-02t19:05:00.000,2023-11-02t19:05:00.000,vca,vvct,2023-11-02t21:10:00.000,2023-11-02t20:54:00.000,2023-11-02t21:03:00.000,2023-11-02t21:03:00.000,2023-11-02t21:03:00.000,flexflight,w2,fxt,4467,w24467,fxt4467,vietjet air,vj,vjc,467,vj467,vjc467,,,,
arrival,landed,han,vvnb,t1,,2023-11-02t19:05:00.000,2023-11-02t19:05:00.000,2023-11-02t19:05:00.000,2023-11-02t19:05:00.000,vca,vvct,2023-11-02t21:10:00.000,2023-11-02t20:54:00.000,2023-11-02t21:03:00.000,2023-11-02t21:03:00.000,2023-11-02t21:03:00.000,,h1,h1,4134,h14134,h14134,vietjet air,vj,vjc,467,vj467,vjc467,,,,
arrival,landed,han,vvnb,t1,,2023-11-02t19:05:00.000,2023-11-02t19:05:00.000,2023-11-02t19:05:00.000,2023-11-02t19:05:00.000,vca,vvct,2023-11-02t21:10:00.000,2023-11-02t20:54:00.000,2023-11-02t21:03:00.000,2023-11-02t21:03:00.000,2023-11-02t21:03:00.000,vietjet air,vj,vjc,467,vj467,vjc467,,,,,,,,,,
arrival,landed,icn,rksi,1,24.0,2023-11-03t01:10:00.000,2023-11-03t01:34:00.000,2023-11-03t01:34:00.000,2023-11-03t01:34:00.000,vca,vvct,2023-11-03t05:00:00.000,2023-11-03t04:34:00.000,2023-11-03t04:34:00.000,2023-11-03t04:34:00.000,2023-11-03t04:34:00.000,,a1,a1,2955,a12955,a12955,vietjet air,vj,vjc,955,vj955,vjc955,,2023-11-03t01:10:00.000,108,
arrival,landed,icn,rksi,1,24.0,2023-11-03t01:10:00.000,2023-11-03t01:34:00.000,2023-11-03t01:34:00.000,2023-11-03t01:34:00.000,vca,vvct,2023-11-03t05:00:00.000,2023-11-03t04:34:00.000,2023-11-03t04:34:00.000,2023-11-03t04:34:00.000,2023-11-03t04:34:00.000,flexflight,w2,fxt,4955,w24955,fxt4955,vietjet air,vj,vjc,955,vj955,vjc955,,2023-11-03t01:10:00.000,108,
arrival,landed,icn,rksi,1,24.0,2023-11-03t01:10:00.000,2023-11-03t01:34:00.000,2023-11-03t01:34:00.000,2023-11-03t01:34:00.000,vca,vvct,2023-11-03t05:00:00.000,2023-11-03t04:34:00.000,2023-11-03t04:34:00.000,2023-11-03t04:34:00.000,2023-11-03t04:34:00.000,,h1,h1,4535,h14535,h14535,vietjet air,vj,vjc,955,vj955,vjc955,,2023-11-03t01:10:00.000,108,
arrival,landed,icn,rksi,1,24.0,2023-11-03t01:10:00.000,2023-11-03t01:34:00.000,2023-11-03t01:34:00.000,2023-11-03t01:34:00.000,vca,vvct,2023-11-03t05:00:00.000,2023-11-03t04:34:00.000,2023-11-03t04:34:00.000,2023-11-03t04:34:00.000,2023-11-03t04:34:00.000,vietjet air,vj,vjc,955,vj955,vjc955,,,,,,,,2023-11-03t01:10:00.000,108,
arrival,landed,han,vvnb,t1,9.0,2023-11-03t06:35:00.000,2023-11-03t06:44:00.000,2023-11-03t06:44:00.000,2023-11-03t06:44:00.000,vca,vvct,2023-11-03t08:55:00.000,2023-11-03t08:33:00.000,2023-11-03t08:39:00.000,2023-11-03t08:39:00.000,2023-11-03t08:39:00.000,vietnam airlines,vn,hvn,1201,vn1201,hvn1201,,,,,,,,2023-11-03t06:30:00.000,,
arrival,landed,han,vvnb,t1,4.0,2023-11-03t08:45:00.000,2023-11-03t08:48:00.000,2023-11-03t08:48:00.000,2023-11-03t08:48:00.000,vca,vvct,2023-11-03t10:50:00.000,2023-11-03t10:41:00.000,2023-11-03t10:43:00.000,2023-11-03t10:43:00.000,2023-11-03t10:43:00.000,,a1,a1,2461,a12461,a12461,vietjet air,vj,vjc,461,vj461,vjc461,,,,
arrival,landed,han,vvnb,t1,4.0,2023-11-03t08:45:00.000,2023-11-03t08:48:00.000,2023-11-03t08:48:00.000,2023-11-03t08:48:00.000,vca,vvct,2023-11-03t10:50:00.000,2023-11-03t10:41:00.000,2023-11-03t10:43:00.000,2023-11-03t10:43:00.000,2023-11-03t10:43:00.000,flexflight,w2,fxt,4461,w24461,fxt4461,vietjet air,vj,vjc,461,vj461,vjc461,,,,
arrival,landed,han,vvnb,t1,4.0,2023-11-03t08:45:00.000,2023-11-03t08:48:00.000,2023-11-03t08:48:00.000,2023-11-03t08:48:00.000,vca,vvct,2023-11-03t10:50:00.000,2023-11-03t10:41:00.000,2023-11-03t10:43:00.000,2023-11-03t10:43:00.000,2023-11-03t10:43:00.000,,h1,h1,4331,h14331,h14331,vietjet air,vj,vjc,461,vj461,vjc461,,,,
arrival,landed,han,vvnb,t1,4.0,2023-11-03t08:45:00.000,2023-11-03t08:48:00.000,2023-11-03t08:48:00.000,2023-11-03t08:48:00.000,vca,vvct,2023-11-03t10:50:00.000,2023-11-03t10:41:00.000,2023-11-03t10:43:00.000,2023-11-03t10:43:00.000,2023-11-03t10:43:00.000,vietjet air,vj,vjc,461,vj461,vjc461,,,,,,,,,,
arrival,unknown,pqc,vvpq,,,2023-11-03t11:10:00.000,,,,vca,vvct,2023-11-03t12:00:00.000,,,,,bamboo airways,qh,bav,2182,qh2182,bav2182,,,,,,,,,,
arrival,landed,dad,vvdn,1,56.0,2023-11-03t11:00:00.000,2023-11-03t11:55:00.000,2023-11-03t11:55:00.000,2023-11-03t11:55:00.000,vca,vvct,2023-11-03t12:40:00.000,2023-11-03t13:11:00.000,2023-11-03t13:02:00.000,2023-11-03t13:02:00.000,2023-11-03t13:02:00.000,vietnam airlines,vn,hvn,1441,vn1441,hvn1441,,,,,,,23.0,2023-11-03t11:28:00.000,,
